#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
133,RBI,Industry,Housing price index rises 4.2% in Q4 FY26: RBI - Deccan Herald,2026-05-29,https://news.google.com/rss/articles/CBMikwFBVV95cUxPaHBwZnZGZXRPU2t4X01hZWdsVzJzUF9mSThRRy00bE9nS00tR3BOOGI3Zlp4MndpbDFWbnRidm5JM1YtbXlkLXNtV0hJVFNBWnNlOUNsYmdrNklCbEJMNGlGQ1p1M2xYNVZ1dkF2bnpsNXBVYnl1dDlHTVBPdHRxUzdRS1FOcnNESUFDakYtVG1IamM?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
134,RBI,Industry,LIC Housing Finance Q4 Results 2026 - Find LIC Housing Finance Q4 Earnings Result | LICHSGFIN Q4 results - Mint,2026-05-29,https://news.google.com/rss/articles/CBMijAFBVV95cUxNeGtKNm5Hc2hNRjU0amhyNWxrUkRuYTNhNVNtd3JSODN6TXFaeE0yQnRSN1ZqSFFHYldHOHZPZjYzdE9adTVRTkoweHh5TnhrUUszbmFjZHpjcmVOZmhJbzdGX2piM1pkOU9iUDl0UTR2cmU3R2tKOVJ6MWtIMTVGRHh6YVdiQW1rRDVoRw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
135,RBI,Industry,"RBI imposes monetary penalties on Hinduja Housing Finance Ltd, Yes Bank Ltd for KYC and governance non | Akashvani - News On AIR",2026-05-30,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPN0hHVU5rQ04xd1lvWkp6REZWTnlJUTZKb21jZE5mNzFXMnNya2VMOG92X1pwbFIwdlM5QjBaQkRMclkxMUtNbDR2ZUk1bTJfYXIxUjNBQ3J3bXFfM0ozaUQzYmwtUnN2d1ZMcV83cVhBWXEzeUdGNmtnakNWN1QzamxmWnlnN0dxeWd4XzhwQUl0QWhTemstQmU5aGlKYWE0XzRIUmVQOWppbFA1UklKSTdPa2tRRTZxOEVwcVBpN2J1QVdVN0MwZ2RsOVp4VkZqMFpxQQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
136,RBI,Industry,RBI Imposes ₹3.1 Lakh Penalty on CreditAccess Grameen Over KYC Violations - LiveLawBiz,2026-05-30,https://news.google.com/rss/articles/CBMivwFBVV95cUxPb0c4NFpmX2o3N09WNEd2T3BqdHdTcjN2Y1hzX09LeW1sWE9yM20zTk4zNndoYlg5ZG8wd3lEajJwRDZrSVgtNmctaW0tYllBQXhGdjB0clpLZ3dHb1VKVDZjWHliSl9TdmFwZFd4Uzh6N0dQZUxCNVBRSDlvNDFlYVQ1SVJPSmZ5UEVxSkkwWjZzUGdOZXdwdkY4cGdnNGJUdld3RXRfLWV4eVBNVTNleGpkUkhvQ1dJZGttLS1Gb9IBvwFBVV95cUxPb0c4NFpmX2o3N09WNEd2T3BqdHdTcjN2Y1hzX09LeW1sWE9yM20zTk4zNndoYlg5ZG8wd3lEajJwRDZrSVgtNmctaW0tYllBQXhGdjB0clpLZ3dHb1VKVDZjWHliSl9TdmFwZFd4Uzh6N0dQZUxCNVBRSDlvNDFlYVQ1SVJPSmZ5UEVxSkkwWjZzUGdOZXdwdkY4cGdnNGJUdld3RXRfLWV4eVBNVTNleGpkUkhvQ1dJZGttLS1Gbw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
137,RBI,Industry,"Non-Food Bank Credit Growth Jumps to 15.8% in April 2026; Services, Industry Lead Expansion: RBI - The Tribune",2026-05-30,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNT3hGVmJlck5wdE5qQmFjZ0p4LVppZ2psZ0g0OF9QbmRzOUE1dHV1aGpDeXhaUW5iZTd5V3R2OGxfMEprS05OQWNzRXdsc25XUmQ5MFlHdDVmdlE2RFFWMlJPTVd6WE1aZ21feUxwMHA2eWxsczRMRlZxVHZEUkJVdkpwZzdnbHA2aHZ3ZTRZTFdYYWVLY2dLZDktOGpkV1lycTFsaDNONjRHX0pZdVdtSVlpX1l2a00zUUFWYW55Q1FhSWo3ZjhXYWotN0VhREFqYWc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
138,RBI,Industry,"RBI efforts boost rupee usage, yet global adoption remains limited - The Economic Times",2026-05-30,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOdERlS1FJaXlzbzBhSXlpNzVVTEMwc2lHYnppLTZkWjRSUHFEdGFjYVotZ2tocThoUXRiVzAxWU1qWEg5UTJIZHJkclllREF1ZmpvM1pXSWFaam1rQkZ2V0N4RENGdWQ4LXA4aE1VVF9lT0RoaDVoSW9hbUZmWDRkcFp0Z3gyeFVRSFVMdzdiWmdaQWNjei1kd0RmZDdLa1Jab2k4NE9vTXpVYzlLWTl2VUkxVE9LQUxEeDRGQmRBUThRSnRZdzM0dWg4RUpkVWpkZkZzNG5MWnF1c3VERzBSYzlR0gHiAUFVX3lxTE50RGVLUUlpeXNvMGFJeWk3NVVMQzBzaUdiemktNmRaNFJQcUR0YWNhWi1na2hxOGhRdGJXMDFZTWpYSDlRMkhkcmRyWWVEQXVmam8zWldJYVpqbWtCRnZXQ3hEQ0Z1ZDgtcDhoTVVUX2VPRGhoNWhJb2FtRmZYNGRwWnRneDJ4VVFIVUx3N2JaZ1pBY2N6LWR3RGZkN0trUlpvaTg0T29NelVjOUtZOXZVSTFUT0tBTER4NEZCZEFROFFKdFl3MzR1aDhFSmRVamRmRnM0bkxacXVzdURHMFJjOVE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
139,RBI,Industry,Shalibhadra Finance Eyes Rs.500 Crore AUM as FY26 Profit Climbs 22% - The Economic Times,2026-05-30,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOcGJ3WTNqVUhVZm5adU5mb1pNbVI0cUJneXQwN3VuZlQ1ajB1RGRYMFp0WXpvZXZJWkktZnpDeHgxMmdLUHdWS1kyOEFuTkpvM0dpSnBLb0k4cGtKNF9UQmlkV1hVY3FJM2dRdXRJdE5TRXBKa29XS1FzZXlGMjFOVTdHR19JalpHYlRoOWREQnl2OHpwX0w1b000aGVuS1IySUR6dWlpY3UtMDhaS0hwbmFKM01Zb0VPS3hPZHY1c05XaWN6TjFvczlIcUtoUVMxTkd5N09jeXhwdGc1Z2FnVnBB0gHiAUFVX3lxTE5wYndZM2pVSFVmblp1TmZvWk1tUjRxQmd5dDA3dW5mVDVqMHVEZFgwWnRZem9ldklaSS1mekN4eDEyZ0tQd1ZLWTI4QW5OSm8zR2lKcEtvSThwa0o0X1RCaWRXWFVjcUkzZ1F1dEl0TlNFcEprb1dLUXNleUYyMU5VN0dHX0lqWkdiVGg5ZERCeXY4enBfTDVvTTRoZW5LUjJJRHp1aWljdS0wOFpLSHBuYUozTVlvRU9LeE9kdjVzTldpY3pOMW9zOUhxS2hRUzFOR3k3T2N5eHB0ZzVnYWdWcEE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
140,RBI,Industry,Rupee depreciation: What are the implications for commodities and Indian economy? - The Economic Times,2026-05-30,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNS0lnZUNpTHhYZ3RKVjQ2MzJKQUtCWG5FaHBwUk1HbHdJMFppSjZnNy1IN2IyZVE0ZmJETHZJbzNYekNSMG82S2d4SnJoMUNrOWFNcEJLa1Ntc0ozT0xHOE5fREY2RlN3RmtKVTRaRnJYS1hUMkE3c1hSN1o3alVvWVNjaldRT25KN0VtZXVHZTB4STd1VkxJelFvOXhjb1Q2Rjh4VDNyS19Jc2xzcEk5Vlo3bGJCTjd4Rnh2VUFvaEhoNDk1czN4UHd5M0hlNno1ZzBTckFtYUxRMGt2VjM5S19nWlNTOGVOWDJyWFdzM1I5YnE20gH0AUFVX3lxTE1LSWdlQ2lMeFhndEpWNDYzMkpBS0JYbkVocHBSTUdsd0kwWmlKNmc3LUg3YjJlUTRmYkRMdklvM1h6Q1IwbzZLZ3hKcmgxQ2s5YU1wQktrU21zSjNPTEc4Tl9ERjZGU3dGa0pVNFpGclhLWFQyQTdzWFI3WjdqVW9ZU2NqV1FPbko3RW1ldUdlMHhJN3VWTEl6UW85eGNvVDZGOHhUM3JLX0lzbHNwSTlWWjdsYkJON3hGeHZVQW9oSGg0OTVzM3hQd3kzSGU2ejVnMFNyQW1hTFEwa3ZWMzlLX2daU1M4ZU5YMnJYV3MzUjlicTY?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
141,RBI,Industry,"India Home Loan Defaults on ₹24 Crore NCDs, Faces RBI Penalty - Whalesbook",2026-05-30,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNbXR3ZWJGMWlKTXhzX3RodFZXcXI0eVZGR3dZa0tYMXhFaEY5Y1l0VmNZeV9fLTZKTkNLdGJzZDcydWtvMjBJRnRieXBnRjFGUWlTd3o5Q1ZEODJVRHVrelpuZ0VMb2Z0T0xHb3RnRnZyRlNPVWxnckJWZWl0ME1xSVdaMlcyMHA5azJTTS1YN0V4TFdxbDdUMTM2WFVVVUdkYW9LQnNBUjl5RE9Fdi0yUmdTa2YyaHIwN24yaDlCa3BwWFpxZjFIMkNRQjRjeUFVMFBST0oyVFItXzRFcjkwMVVzZkhUZ0JsSEJEdEw1UUYwbDQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
142,RBI,Industry,HDFC Bank’s Governance Crisis: The ₹45 Crore MSRDC Scandal and the Urgent Case for Strong RBI Intervention - inventiva.co.in,2026-05-30,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPTXQ1STBXUjVtalc5NW00eXE4Q0dUU1Fsd1FWWHBJdTd4b21Ec1V0VTJyUktmdWRvYzJlZzJ0RTc4bVBzTER4N285SEhNNEFCQVVnSFhUUGhNMjZ4X3gyM1djLUhDV00yVm9YckEyQ0F3aS1hZWkyZTByT2tYVnVpUHhkcTFXMTZjTHNwWTZGa1VmdjNZZ0tiT1lOdC1hUl9sSFVXUU5FMkdrWTk4VW42YWhxampyTTlIb3B2X3hLNlBpU05kNHRTUDJuYmQwWnNHSk5LdUEyUXlxZVEyMGRNdVJB?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
143,RBI,Industry,RBI Annual Report 2025-26 Explained: Key Developments That Impact You - Adda247,2026-05-30,https://news.google.com/rss/articles/CBMibkFVX3lxTE91NjdFNmRrWnhOTlJHOS1vRlhYNENQbzFUZ0hITUlmRGVZZmZ4bjZDa2I5bndFenlMdE5jMEFobGdQWU1sUWNRSnBPN2Z1dkZrVU1GcUdtM0pTTnNFaWt3QV84ZzJ0NGFvYXFDYm1B?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
144,RBI,Industry,"Non-Food Bank Credit Growth Jumps to 15.8% in April 2026; Services, Industry Lead Expansion: RBI - businessleague.in",2026-05-30,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOUGxHY3JxLXY2bm9VYS1XOVNOUDEwbWJpSmcxTlR5eHhidVRzUzlfWTZvTDBuT2VmNTV0SjY1TGRIS0ZCaHAxd3huMlpVZXNQZ0NHWmhTb1BKZy1LUk9keGdHSzJYU0dMU08zRl93YVBON0N0Z2RzTjlYYXFLUm5UXzZoWjgtVno5MDRYVnlGOFJvQTQ2aVJGbmF0M2labjlCRmdoSHdEUnBWcFY1S0RlQXRyX1pSS0hKMXlZOU5nUWpMcjhuSnBTdtIByAFBVV95cUxOUGxHY3JxLXY2bm9VYS1XOVNOUDEwbWJpSmcxTlR5eHhidVRzUzlfWTZvTDBuT2VmNTV0SjY1TGRIS0ZCaHAxd3huMlpVZXNQZ0NHWmhTb1BKZy1LUk9keGdHSzJYU0dMU08zRl93YVBON0N0Z2RzTjlYYXFLUm5UXzZoWjgtVno5MDRYVnlGOFJvQTQ2aVJGbmF0M2labjlCRmdoSHdEUnBWcFY1S0RlQXRyX1pSS0hKMXlZOU5nUWpMcjhuSnBTdg?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
145,RBI,Industry,Will RBI hold rates at 5.25%? Here’s what economists expect from June MPC meet and why - financialexpress.com,2026-05-31,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQkpBNVdIdlAwaWROVkg5S0tKTjlmV0F3dnIzNUUtMTE2NUwwTFBJUVgycjh4V0NiOVFnQkx3OWRHaEZYdFdsRjNIU2Jmbk9ZbjVraXhabDZjc1NIWUVpcTlRUUJGb0F3TWROSEdSYkZ1QlVjMWxxZ3BTSDd6cUhtV2Y5ank3a3Z0R3Btb29uUGhsdkQ2Q0c2ampqd1RJR0JfRUIyWGlmNnM3Y1M1SE9wTEwxMFduTkR3WEphUlEwemJXNkZVSm1NRURfRWk0bDA2MDhDQ2UtRTZEeWRSS0NLVDBDbmHSAesBQVVfeXFMUGhLaXBGOFBhZnR1bXRkNmFNM3d5STJxMXpGc3hMb19tcndFeW9DRmhYLUZfX01nUDNVSUVldkMydzR4bkhBZGR6VnBzUnZrV0pNS1EtTGt2TU5KS1g1LTZxbjhHTUFxRFFiSUFpb3h6a0cxcGNrbnp4cXZWZ2Zqa2dONGtiN1UyU0tYbDY0d2RfOTkyXzRQbGJBZG05NmFBQkwyUkR1dnh5d2hvaHZsNzR3N1pJeHRReGVTSlh0S3ViRmg5UV9ZSXVIbU9WX3dSa0dKRG9tV2lFcVJuZ2I5N1VuSm05cnA1UGZFZw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
146,RBI,Industry,Banks cannot disable mobile phones of defaulting borrowers: RBI proposal - Dailyhunt,2026-05-31,https://news.google.com/rss/articles/CBMi9gFBVV95cUxONkZIZFg0Rk9BTmVJM3NfaHdnNVM1Q21veF9zMWlKY29UaXgxdGw2cHdxbW1TT3E1ZWxLZnlhcWNwTEY1ZXJWZEFraVRWbWVPOUVJZXNTZVpYamxsanJuU284dE55b1FUQUlvQXd5S3NBZk5oa29iRHdWc0gyWFlBY20zMDc1dFRGdml2QW1rb29rcTVFMEZqRk5EY0VnM085NW1jeWt6b1BpOHN0ZnB5VTg3VVFuQVpyTWdVeEltcmRTejFNNGdvcW80WEVRNTJMZ2pJYjlmTk1iR21abmc2VnBtZWFLbTkzWGFLMm4ycnMyLTk4OEE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
147,News (The Indian Express),HDFC Ltd,HDFC episode exposes something more consequential than its own alleged wrongdoing,2026-05-29T05:11:54Z,https://indianexpress.com/article/opinion/columns/hdfc-rbi-sebi-private-banks-atanu-chakraborty-10713419/,,Competitor Intelligence (via news),Signal-tagged but not selected,
148,News (The Times of India),Bajaj Finserv Home Loans,Accumulate quality stocks in current market phase: Deven Choksey,2026-05-29T06:04:23Z,https://economictimes.indiatimes.com/markets/expert-view/accumulate-quality-stocks-in-current-market-phase-deven-choksey/articleshow/131383199.cms,,(dropped),Scored but not selected,
149,News (The Times of India),Cholamandalam Investment,"Nifty IT bottoming out? Anand James on the expiry outlook, pharma profit-booking, and 2 stocks to buy this week",2026-05-25T04:22:15Z,https://economictimes.indiatimes.com/markets/expert-view/nifty-it-bottoming-out-anand-james-on-the-expiry-outlook-pharma-profit-booking-and-2-stocks-to-buy-this-week/articleshow/131301315.cms,,(dropped),Scored but not selected,
150,News (The Times of India),Cholamandalam Investment,"Nifty IT bottoming out? Anand James on the expiry outlook, pharma profit-booking, and 2 stocks to buy this week",2026-05-25T04:22:15Z,https://economictimes.indiatimes.com/markets/stocks/news/nifty-it-bottoming-out-anand-james-on-the-expiry-outlook-pharma-profit-booking-and-2-stocks-to-buy-this-week/articleshow/131301315.cms,,(dropped),Scored but not selected,
151,News (The Times of India),HDFC Ltd,FIIs slash allocation in India's top 10 bluechip stocks by half. Is that a warning sign for your portfolio?,2026-05-20T04:15:20Z,https://economictimes.indiatimes.com/markets/stocks/news/fiis-slash-allocation-in-indias-top-10-bluechip-stocks-by-half-is-that-a-warning-sign-for-your-portfolio/articleshow/131216172.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
152,News (The Times of India),HDFC Ltd,Why foreign investors are exiting Nifty giants to hunt in India's small and midcap market,2026-05-25T03:37:18Z,https://economictimes.indiatimes.com/markets/stocks/news/why-foreign-investors-are-exiting-nifty-giants-to-hunt-in-indias-small-and-midcap-market/articleshow/131300313.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
153,News (The Times of India),Home First Finance,"Bernstein says Aadhar Housing, Home First, other housing stocks can rally up to 34%. Here are 3 reasons why",2026-05-26T09:16:10Z,https://economictimes.indiatimes.com/markets/stocks/news/bernstein-says-aadhar-housing-home-first-other-housing-stocks-can-rally-up-to-34-here-are-3-reasons-why/articleshow/131325758.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
154,News (The Times of India),Indiabulls Housing Finance,Sammaan in loss as impairments surge in 4th quarter,2026-05-21T00:36:42Z,https://economictimes.indiatimes.com/markets/stocks/earnings/sammaan-in-loss-as-impairments-surge-in-4th-quarter/articleshow/131237834.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
155,News (The Times of India),LIC Housing Finance,"Hospitals and LIC Housing are the best bottom-up bets right now, says Varun Saboo",2026-05-19T05:59:14Z,https://economictimes.indiatimes.com/markets/expert-view/hospitals-and-lic-housing-are-the-best-bottom-up-bets-right-now-says-varun-saboo/articleshow/131192086.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
156,News (The Times of India),LIC Housing Finance,LIC HFL Junior Assistant admit card 2026 released: Check direct link to download hall ticket here,2026-05-27T04:44:20Z,https://timesofindia.indiatimes.com/education/news/lic-hfl-junior-assistant-admit-card-2026-released-check-direct-link-to-download-hall-ticket-here/articleshow/131341400.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
