#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
134,RBI,Industry,"PNB Housing Finance Aims for AAA Rating to Cut Costs, Boost Growth - Whalesbook",2026-05-06,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcnZ0QkRGWmUtWW5LYjBJaDh3WUxlelg5bUFGWndXRmtzN0NLT19jSFpGMF9ackx4UV9uSjhfU0JMWk1TSlhpX1QzemE1ajNFWmZ6QkRqVEJIYWVIaThxWlFJTE9XTVVBTG1FTHpZbjFSZXhfZEN5emkteUUwbHU4cU5sOURHazVuMndVYnU3ZTRRNFpKeTJFVWdEQk9vOFBhSHp3OVVjTUVCUnNQRDZSZy1NWjhEYXdoV0NmWVFyRm5LSUJaN29kaUctWng4Y20zbGZKMUtrS2J3ZGJ6Z0E?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
135,RBI,Industry,Home First Finance FY26 Profit Surges 41% To ₹540 Cr; Loan Book Hits ₹1.3 Lakh Cr - Whalesbook,2026-05-06,https://news.google.com/rss/articles/CBMiowJBVV95cUxPVFJtM0ZUOE83VkZyU1lrdzRkdXNpSUd5WXdsNE9ZT2U2emV4dGhWaVhJU0dzQkRPN1FaQVlibE9BN0JkV2lHU2tsUndyM1dNN1p2NVYweVAyOWpCaGN6Q3FiUW8zZWZsd3E0U2hBOXBQa19oTnJXZWpFRVpLUnhYOWUtZ3pXMERGTDhiYmxBeHY4a3M0Vmo5SEtxUGpyVmh3dndOcVFfSGVSUkg5c1NFZGF5TEdESl8xajdod25oLU9NTHZjdEZDRG91QWVzeERpalgwVE9saWNhM0NtODFUV1RJenUzdXdVY0hCSFM1ZjVmSm80b242VUpEVlJySnV4c1IzM1hIT3gzTjlUa1FWLTBGcDZVZjh0MlktcDF0T21YYzA?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
136,RBI,Industry,India clocks 4.6 per cent growth in exports despite global turmoil - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPLTRyb0N3N2tSUHNwNnFXX0o1OXpxeHNKdlRnRWpJZGxJSEdiSnRlX3BIMHFBY3Z0elVzc013RVNDU3pSWW1zUEV1bjdqTEZNbGhUd2loalVYWFVKd3l1NE1wTDBncktYcUtZeURRa3VPeHZZM3NGdHZQaGtnMjJNc2JnTXg0U3BpMjB3eGNoYlB5WTFWZXNMM3FzcThIak51WkR6LVhYQnPSAa4BQVVfeXFMTnZ5TG5GejVDdFJqTlNkZ2pMQlNVLVdSTUdteDNaMW9oVGxLc1NZS1M5aWNPaGUySnhyNkJZeUU1ZVRMYXdfWlFraWxLTkZJVmZqRGNMMFRGUXJwWFY1Q0pPWndyQ0VKbmk5U1pMZ3ZwdFhKNGN0NUNxQ0FGV1dtV2NtTzNtTWJsalE2X09HMWxwUlFTVWUybmlNSDJiSkViWl9uRnNlTzVVRUdYM3BB?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
137,RBI,Industry,"India, Vietnam deepen strategic ties, set $25 bn bilateral trade target for 2030 - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMitgFBVV95cUxNQkpDaEQzRGIzelVueTVza1o4M0FPMzZoOFV1WnVqNmJ3TEFBUUl5Zlh6MkM5emd4RHFTYVJaalAxU1Z3RmF4d0lFcUxaVEhvN0paSC1mX2QwOEVEUUk4NUN2Z2ZxQ1FvUWRhSVdKMmt5djFuRVhJTG1Ta3Q2OFlCRWIxN2pJVGhGcmhlQWZJT1VONmVYMS1LV19QcmxRUFh1aFZyYTZBVmZMQ2JZYmRRS0FjbklWZ9IBuwFBVV95cUxPYzJMSTFZTUphSUgzMzJaQmxlSWJ3MFdCU085VE1mSUpYbDdnWUxwSXN2NE56X2JHWWJSYXUyZTlSM2x4Y05VWVFsQVJ5eEZvUU5VWkI4bExBUHl0Qm0ydWdIdjBMTGw5TGI2QVdrNVMwNXNGMDdDVTdVZC1DTl9wRGp1ak82cnBrMmMxZFg0dlhrMGpWbXBfZUM4VDlRMlJFSDNRdnhrbU1TNTE3T0FseVJXQjdadVdaSV8w?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
138,RBI,Industry,Mumbai: Doctor Duped of Rs 65 Lakh on Promise of Affordable 3BHK Flat in Malad - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiugFBVV95cUxOY1EzQml2aFFJakJoTlh5em01eFlQZllOTWhoaXY4bWViejRqVkFrMG5OLVQ5M2RRbVRPOXNtVXhvYVNrdDZxT0NVSktDUEhGN01YbW1IQ3Vyekoxdjd6UkZid1JYay1RMlI1Tmt3elRENm10ZnZ1ZUpWdnlObXNyRkM3OXFuM0Z2c0NpbVd0bjN3ZXJWVWhIMTZCVzM0WnpDRWY5bW56ZjZlalc2TmEwN3hwNkJCVDFZVlHSAb8BQVVfeXFMT2c0bVM2Z0lSU1JnTU9LeDZ6YmI2YnN3QTA2UUoyeFRyNkpxcDh1VlBLUHJnUjRjZzNuMXc5S3R2bE13WWNJSHdTNVpYTWcxdk94aF9qV0tFSThvRDllRkdLY3RFUXhxSmZlUUd4OUhIaUJmY3l4SHAxTWEtam9xS2s1bGNpcXFqS1FvWjFGalAyTXM0dW96Zm9HdGlUYlZtWTM0YTVLdHFQVGxyVm9sUUQyY3J5WmRRZDhjNEIxemc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
139,RBI,Industry,India-Vietnam to take trade to USD 25 billion by 2030: MEA - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbExpWTYxM1pva01POUlnY0JHRUJfM2JTREZiM04zUG1fcEpDR240a3dhelg2OXlFV1VJbmZLNVg3dUFxaGlTWWNyRmpmRTlkd096cXl5NXhjajQ3SkFqWE1JbF85SUtNX3hxdG9vSnNSOXpuZnQxVVVjbjZpVjY1cmpRX0FkMlFYQWQxbkJhZ1NieFA2UnFHV1FMZVZtSXhr0gGnAUFVX3lxTE90VHNGbnFYRkJ1S3FQSTNkcm4xSVFTRWFENVlnSlV2cEw1RnoxOTNEMmdoWjN6ZDJFaEdFRHdRd3N4Mks3Y29HTks0aXBmejAyWUZmUHNrcHUtT290Nl9tUHRQUDhDX2FWY0twc2Qyalo5azl1WVBVa1lUcWF0OXdJR1I2V3BOd3BkWWNKUEFwcTRLTnUwNTg4R3QyejVrVUJkWUI1b2d3?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
140,RBI,Industry,"IBCA Summit 2026 to boost global partnerships, South-South cooperation: Bhupender Yadav - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQWFJqb1hBWF93SW9PdVBlQnU0cjY5cVpudGE0UEd5VXVCRndqLUFYZ1JpdGF4ZC1JZFV1Mk90Y1dIUlFlZmVDeTMtLUtFczFFbnRSc3d0cUxRcUVkd0hYOWFxSWc1cHVTb0pQUUppLUp5c2NVVlltLXhwX2hTeU5qSHotS2RyRGtGWFBmMXRUS0hqUVVZYkVVSXBZVnVhT1l2MHdIYU93WlBNYlB4QnluQmJ0V19XMExWYWFMMW9YZVZqZGPSAcgBQVVfeXFMUHA2T2xPbFZ4eVdoNFpGcVJ6aDhobGZKYW05dUlLNmxxa0FlQVhMUTV3cUlINmRTZHNDcWJwSEwyT1dQdmRKMm9BUmpGbGtpZkcxSjNvUndwOGVpbTVzcVRjbm9nU1NlVVo0MC1WM2xlc1hZLXBmcWxUNk5aYjdRUjNfamFNNFM1enAwcU9QWnVEOFd4bzlSUDRJZUFYTTNIaHBfQ0o3bktRQ1Z0ZWdqY0NkOHhSQUFQMFp2MWFnSkVhdktNcGdmTEc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
141,RBI,Industry,Chief Secretary highlights growing Rajasthan-Japan partnership - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiogFBVV95cUxQWGJZSDgyQUdnZXZnallJekxsWlZNTmk3dmgwbFE0LVJrS05veHpUcXRiblNFZ1hNNGJEUEZSYnpBZGlkcjZOc25LdG5hU09TYmNLNWFZdFlKQnhQUFg2aUlrMzc3ai1KR21DR3pHdXNfMG9ncWtPLXBOdmQteE9WUWVfYXotcXJxSXc5bnVqSEdaNHg1OXYwN1czWHFQb043aUHSAacBQVVfeXFMTUtLdTB5MXFxcGpfS0RWQmZVcWpIeW1udWhjWWk1YThjSDFCRHBac2FlN3owb1VUOTh0UDJsR01SUkVwbVdjVnpDdlE4bE9CVk9UNDgydXQ4OWZlejVkR0prdExIQ1RBQnRHeVRXdWJDSW1iUzByeElLdEhKdUhrOWxkcDJuNHV6YThveTBCWUhwdnhNcVRqNU5oTUxZZGFlODM0RjdqbFE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
142,RBI,Industry,Land measurement begins for Aarapur industrial estate - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMimAFBVV95cUxOeTYtMXlOZ3RDSUxzVmJfRG9WLXNRX2h4MzIwZWlIejYybkRJZFl2Y0ZDelJSRlRqcWh2VnRyWWI1RFEzajkwMFdTQ0s2UlBPbDZ0WlRmOW5RMVpSTWFEanBFQWFUWDhoUmFWYmJvV3JZNDlZTHhSdDRncjlEd2lRODVQV01qc0hOTWxrVFJCTEVaNWRzQnMyQdIBngFBVV95cUxNeXViYVZ1WktFT3NTUjJXd1pkMUxHZFlWZzJPTVZDWjYtNXU5c2NOa3dlemxTX1hTbGxPNE9jd1V0UkY2T0J5ZXdIRnZPVWxvajVNdDFQRXRBQ19RcFVfbGFUZEFJVy1aTmtBS0gxNlluQllMMWNacEVfMFJPUnVYSGRlRTlTWHRicDRVSW5tNzMweUVKZUZPTElJV2h5dw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
143,RBI,Industry,"T'gana slipping back into agrarian crisis under Cong rule, claims KTR - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPN0JSbGRwZG92UlZNd0hzYzZNRGJ0ZmxCTDBVYm41b3hKYmt4U29rZ1B2QVh5RG9qNW85RHR0N3VSLUxMVWpwX0hBNV9LZVBjZUxLa1NUSi10TE5kV2lPZkJCZEI5NGZkYUJ3WU1KemhRZE1IQ1hCVE5kdEVPUDdVTmF4V2JqcURRaExaRDFvbUVyNnpJdjhEanlXRklWa0ItM0k1LVpMU3bSAa4BQVVfeXFMUEZGbC11dVE5SDhRUTg1cTJsNE03dlp3dW9WYnVVUTdaQWpteGx0NW12UUpUeVBINzA4bWhjaVlfU0lQRndTWnpFaS1fbWprdnhHWkxESzhmNjBydU9JU3ZsYkZjdUItckc2Vmo4TkR1bkdfWEhiRHg2WFpHYnV5OVdzQk95M19uU3pjZ1ljdC0zcFc0cFpidE0xRFVQaThyVXV3dG9VZWJRRnN0MHB3?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
144,RBI,Industry,"India, Japan ink pacts on health research, quantum technologies - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMiowFBVV95cUxQRlViOThIaWlKV0pCQTlKd0pxcHo0VXpGME50cVFRa0R6b1hnQUlQeHY4YW8wMHdYS3dWQjJKWVFBMWhqSmZBVEdTMmdiZDVQMjJmMUxvR0tNaWU4dmloMWlnejFES2JNUUxHZXliNDlBdjlZdEJCWjNFSExqTWlvcHltMHlMUXRUMGVDMHd3SThjQ1kzLUw1MG1iUmJxbXVaN2dB0gGoAUFVX3lxTE5LQmFsOU1LVW5hSHRENTBrRnI4a3BtdGJBVkw1V2dRQVJTc1RRWkFSQld1OVJRb0U4QzFYbEFxNXplYXhPT3R1NmJ1LWZfRlFIb3dfbXl1eFJ1R3gwQmJ6UXZvWC1uNHo0ODEyOE1Ld2o0SVRzVVN2TUZDZ1c0TWFvbEdkTXNVRC1ndDBSOHc1Q1UxTndSWTdyYzlCdnBSTHVPZERUTWJGVg?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
145,RBI,Industry,"""It's not a 'Matgarna', it's 'Mangarna'"": Akhilesh Yadav accuses BJP of manipulating polls, demands live... - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPT1NQeXVVZVJ2TEJ0UE4yYmVBWDZfb1VCNFV0OXlrbTJQSV9GMXJIVUJRbzhyOFlUemM4aU1OdUVZSDQ5Y2VkT0k2TXFXbWZJSThEWGZYYzNGMmtEcU5BSzk2MjBEZWxvdlBjdGYzcV9xdkZ6eHFwT0dTY3pDTmtUenoxYllXN292TGNfbU1HMFY4UEdsU2ZjMjVpYWlrX0pqenlwd0oyeFdCckNXTjBSeW0zdWtEb1JIOGlkY1NsRU9IN3JHOFNhQm9mdU1CaS1XaFJRTU0zbUgxUm1vanFYeHV2VUllX0Nhel9pTXFuMWVvSzlLbkt5MlF3RdIBgAJBVV95cUxQSE44cHJGU29kZXVWNy03SS02dkFoNzh2UEczN0tGaHFDRm5zT2hnOEhxeVRpWG5nUlFLR2pxcDBLR3RLOVZ4OFd2V0d6blI2UkxFMGZYaUFQOVVmSW1ReXNNOFNRb29jaFRQWFVLcGM5LWtSaXBPZ0xSZEJvdnNnSGN1YkNlUlpTclhOaVFjTjEzX3BwQlZSOXpkcnNFZ0syaUxmU2NtMlpaOHF0SjZIQjdBTGYtWEVhY0JSRVFnekpYMFM1aVQ5eGN3b3doekRFSnRncXJKenE1QzY1amwtU3M4VW53dlVzV2o3N0NCRkhIUk5MRU0zR2hpNE5scGQ0?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
146,RBI,Industry,Govt to host Ayushman Bharat PM-JAY hackathon finale in Bengaluru - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTHZ4bXpBUUltTjhyRGxfQVZWLUVjUUY5bk1vRlRwei1HVlk1a3E1VWY3T3lDZmRoMjFoZzZCV3dkNUdMY0tkbG9zSDJ1WU83d2ZRS190LVRra3FHODQ5UWd2aXdrMzNCNmppcUtKNjVxUnhFX1NBUHM2Zm5zbFliV1R3dVNmQmlmZWlraktEd1FUVWY0NEdyd0pHem9uX21CNm9yeU9ndS1tUlHSAbABQVVfeXFMTnFsVVpuTHUxVmZzQy1aREVveEo0ZzRfU2ZFWVFXSHFRMGVBSVFSQUJFZWhfR09HckdRaG5Td1ZFU2hZM21jQ0FPRTQwNVJKOTZsUnRqNXN4VWt0ekI2RDFBT2Y1UV90VHY1LW9kaUUtbUJna1dCUmJEeWcyRFRNbmZSZzVEZkNIZzJCS05hMFJTWW45OWNwSEE0Y1diWGd4dGhyX3BaMzhaSHpSQWVKOEg?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
147,RBI,Industry,AI showing inherent bias against poor: CJI Surya Kant - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMilAFBVV95cUxNTG95cmxURkU2R29EZDN4T1BPaUt6RTBpMGhBeF9HWjYyOGQ1REFEYUthR3ZZdEZiUTg1OE5NWk95ekVSS2I2MTZVTzJKSzY3UmZMMEVxRG1nRTNhdFFJRTJSeG45d0RrdWVlQ1BheTVLSEZ0dWFZU1NjeDE3MEYwaG9UaUl4VDkwV1drS041UW1EQVht0gGaAUFVX3lxTFBYQUNTbVFrSWRnS1liUEdWSGd5bTEzS1BteTlhTVFScHpyaXBDZ0VjdHJtM3dLc0tKSDFJMmQyc2hNcHp5cDNFdTJCSnhEZVJfUjlXUnpVVkZJb09uczFNVFpzeXcwTlJXZ2N6a0pCV0NrVENPTEpLWDFCZ0dkbEtxWnFuMmdNM2Y1SzhqX1NfdVRmS21YaERLNXc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
148,RBI,Industry,"Afghanistan: One killed, three injured after unexploded ordnance blast - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMisAFBVV95cUxOUFlaYWRpMDY2cVR5SWVvSmM0cUJIUFF5OXN5NFpXbko3c1Y5MkZWSlFjWWV5RERRQnJPOXV4R1pMbDBLZlJjS00zMVNMaTJUTG0zNldBb3pIQm9xUUhWZFJvVTdVLWQ4QmY4NkRsSzkyRnhqcWhxV1FOaFRBa3RrdjR0bWt4XzN3SEUzTWllbmVZMmdxYjlLQUdKRjVpRkxuejVlWUVVMmhEenJyZ3N1ZdIBtgFBVV95cUxOYWthUzljWWY4UUFXUmo3ajFSSmFLMkhSVmtmRy1pUWtFc2lZYjVubkN4MHpjajVTUG5DYTUwU2VrTDJyZDcxaXpBa3lyd2NkRkdMQ3RqX0cwdTg5VVRwWUlfbGx4Q3d4d0l4bEZITVJCVUk4RktFcnE5a2ExZHhmcFlIcFdWTUJxQVRiYmRub1A5cS01T0U2RE4yM2VUcFJsSWxjVVZzR1RSLUIxXzdMMGFLeEFqQQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
149,RBI,Industry,Intensify enforcement mechanisms on dowry Act: Haryana Chief Secretary - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOazBXdU1IbWpQS3E4UExZdWdKR3ZoYmRCTTB5Z3R4eWE4YUhsck1aUDNYSXlFS3NLSEpvclRkZXVBUGRHeUszR1lSM2Yyci1NQkt0N1drQXowNWZhTnhhTE9PMUJhbzhBU0dqRXR1dmxoZGotSFVhTjJtVlJpZl9BNFB3V2ZDeTlDYTdTaElvR296Q0paZ240LUFOYlJjOFoycmlDby1GSzZsaG_SAbABQVVfeXFMUF9nbm95S1AyU1BGQlEzYUNJVjJOWjJHajhpdmJJczh4X2tfQnpRcEo3ZjlyTHpCalFwTEU0anBNRm5iUTBBYlg1MUJMNVBtZkZXTU5LSE9mOFh5NUMya2czRjNjQ3U2WFNXMFBlSTRUUDFJVE1GV0F1X1N2N0NMZGlyc2JpTG9Nb0xKZVBqLUNXaDU1RzFHRnRaSDk2REVyUUtuOWVqaWx2UW90QnhKMzk?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
150,RBI,Industry,BJP seeks Punjab CM Mann's apology for linking party to twin blasts - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMipwFBVV95cUxPV3dRRmdDVVNMMXZXdDN6NWtabUVib3B3YzlncGVEQUY5OU4tUEN1MkZqWUhwSFZRNFc1bUxMS2hndmJoZVRHZmc3S3NLd0k3OEh1d2hld0lMMGNuSWF5RjJ0SzNScUxaQjg3OU5JMW9ZZHllVWt6Y3dKVHBLR2NrbXFfb3Vta3BsTnRNV1U1cVJiWmlMdWNmY1NkY3dXS3RFLUpjYURxRdIBrAFBVV95cUxOUFptSHg1UnN3QlNSWnZsU1ZpRDlFcFZWNVRKWUZVV1E5Q211aGs2ai1KekRFUXQyZGVuMGRiMGR2eTh1MDlhMkF1eTNDQ09VQWtfY0UwLXhDY2hCSU5ET3lhUmhGeHJCTUZVVFdLXzAyLWVtY2FRNE41YkNtYTZWU1h1TVVOTUNGVGp2Z0tTaUpGZnFCWXNSeXh1Ujl6emdxbkhZUXkxWksxSFNZ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
151,RBI,Industry,Rajnath Singh to attend Joint Commanders' Conference in Jaipur on Op Sindoor anniversary - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPR3FoU1IzWGcyZWNnMGVReWc3dVV3SE5nUVVBME5meG83cmNrWUVQckQ5ckNCd1JnN0dYQkozV1piQ3BKVHdUNkJ5RGNFT2hPaF9vY29uU1E0X3h2VHdCWkVTbk42cTJnd1Q4OFY0TTVhQTB1RjBvcG9tTUd1Qlk0bGdZVlJkRm92dnI5YUxiMWlWbWJGWFNYbGZRbFVxWl95ZEF3ZVBMOTV0X1d1VGpIMzRmbS1sd19WR0FabW5XOUItVTTSAcgBQVVfeXFMTnJtYnZ0bzVwcUVSdXE0clZXNEVnYkhheG9XRExucXA0cGxrUTlwTU5KR0ZRY2lUbHJIOWFOamM0QjVfZHpQdGpDREpRUlpDcWh6UmkwMnBpZGRncC1yYzMxU05rdWN1aUFmVk5pR2w5cDdVQ0diY0NzczhJNl93YmQtX0VQLTRkNU83bHBYQk1vZEZhYUkzYmd5QmZfT3BEWUJOUzN2emJDWFlnMVcwUDRtOWtDZEwtZDdkejZSaGNrVV9pU2M3djM?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
152,RBI,Industry,"'It's important for Sanju to with Kartik in the chase', says CSK batting coach Hussey - lokmattimes.com",2026-05-06,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPV0FoT3g2d3QyX1hNeDBwTUxscG1yN1VrMV8ySnBOb0VhV2VjWHFKb0lQM3NBa3Nxd0RQWHJpTzZ3THdQaEpneTZETVZNSU5kdDhzV1h0Tm5kbjFjbXlSYnVpWmxtR2VXRzZ5SlExMjY3Q1hUQ2NzQzlJMGt1b2NUSXFYeGhSTjlLcXh0R0o2X1Rjdm41cDBGR0ZVR1ZYVFJPd3BZZXdZM1cyeUg1Xy11aVowamdubjA5WnBDSll2VEHSAcYBQVVfeXFMTzI1bmtDa3VDdE92NW9KOFg5Q3RTSlFNeGlBS2o2LXBUc1lZOU4tMnZSS3JCNW9ZbW84cndKTnBSWTRpR1Z1Mk95V2YzOVBFbzkzNkFpWkVfQmgyZHA2bTYxdDlXUmItc2ExQVJDSk5KNU1EckpfNmRjVmtxOEtxcHhCYWl0U2w4dHFUeHEzdGxxcC02a3lLRm1oc2NBaDBmQ3Ffd3BiMGg3UDBfQnRCeTc4UFg2NzRoS2EzYmF2VmRPTmFwMERB?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
153,RBI,Industry,Man abducted for Rs 7 lakh ransom rescued two held - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMilAFBVV95cUxNdnZVZkpNWXBBMzhrdFh2c2dDemJVNEhfdExqbW10SmxpODB4cmNHcmg0V0ZBLUFscS1PcmUxZzlKbUI1UWN3R1J6OWI2LUUzQ2swU2wzVTBYS0VOakliRjZBd2FzX3FGN2o2aFB0RkdlNWUzZ3kxeV8zcFVsMkhEaGJuUXFGcUo1LXNzcVBZNS1QaXdN0gGaAUFVX3lxTFBYU0I4N1hUenpKWmlQUTUwMTVzR0RzTzFwLXBDSnhBVExpRUpwU3J6U2U5QnZFVURraEtfaTBKdVh6U1F4OFZBXzFDbUJzUTYzT0xkNTFfeUtKbC1nLTBrRERydlh5cWoyQzY1WXhnLUdUQU93X2VTLWpNcHg5dzZrN2pyZVFmS0xSdFlSUUtUSzdHLVBsek1JMEE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
154,RBI,Industry,Beed Crime: Man Beaten to Death Over Ongoing Family Dispute; Case Filed - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMitgFBVV95cUxOcGJIa1c3M0JGX2ZicG8tNUZNa0tsS0FLN3ZvZzJTdDBpdVBHa2VtUE1seVIzSXVYTVdidThVbUhDNDRnNEc4RGRCa3ByUTdfTnVzM0k4eTFwT0hkYnRzNTVUTWIycmdieEVTY0NadnBTM3U0cnF0dWg0a3YyVzFvS3ljRThJQXFJTjdGU0poV1dScE5fOFFYanpobXd1ZDE1Y18tYkVSMFo5NXBoY2FZN3U2RmhtZ9IBuwFBVV95cUxQYUFCQlJhaHQzcU83d3UtZlptYldRdEhqekRGZDA0anJaSy05X1BzYktqVFlpaGNGbUt4RkQ3dVBaVjRuTnhLQnEzWDNrT2l3RW5tQVBZT0JuRXhCNGFVUWhZNEZ6LXUzaEtJb2tybHVITVFOMXJnUU9sRE1xUFlrV0cyT2t0MzJZUnRwU2Z2WDRNZzVpMmpxdnFFcU5TYWhoR2ZoSEd3N2FVU2ExTVNQc2lmRURiYmtVSTlR?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
155,RBI,Industry,Pakistan's 'false' claims during Operation Sindoor fail scrutiny: Top US warfare expert - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSmM0Y29hR0ItejJyNE95THJKV3VTYzNDMnljbGVoV2RuWGkzYU5hb0ZtNUVYYVRlc09oZ2RwUmVUYnRSb0lJaG8tZVBsalQ1YjJ0QUYyUHNCUWNNbF9BdG5fNjRHWEQ4VVBHQU52ZXM0NDRBd3lXbTB4dHhxSWFYcHJyNWk4eHZFNFVjQ0RKVlNWa090dVY0OHJlOTJ5bko0YnhpMTFGZ3lvc0xoMFdkN21KZ0l6TGQ3aFh3M3Nwc3F4Q1ZS0gHKAUFVX3lxTE1BRTFPb2w3aFJ0aFFpLU1wS1VSRS0yZ21IdlpKSl92UWhqXzF1cEZRajZJaGxvY3A4dW9nSkdLY0VSdnExc1NQeWZ6cmk5Q2VXRVhCUHF3ZE03VmJCQmdrZEw2QjZOUFJfNWRGS0VxUG1xc2g2T0RQQ1BEUUV0WUNnbXZRUjRMTWJrMEZvbWstb3RVdlNaaWpsOTd0Qm9KcDhPZk5STXdvX2ZzWkF1cm1nd1RwRDFQWDQxbkRPdUU0aXZmejduUzZIT2c?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
156,RBI,Industry,'Winning rebel' Govindan’s visit to Kodiyeri Balakrishnan's home underscores CPI-M churn in Kannur - lokmattimes.com,2026-05-06,https://news.google.com/rss/articles/CBMizAFBVV95cUxNSXlXYnpRcFhfaUpGM3ZMaUJwellydXpJMm9DOThmRXEydWdmdVg4SEZ1Z0FKUGgyeVoyTDd2akltbDlEdE5fRjExSXJPT3ZhMk5JS0J6NTg1Wm5XaGo4UlFxZl9NRnBJQ3BXMThEWTRlaFhydVhvRWg4M1c2MXdsS0dfODBEMHRaRTJBTjhaak1vQnVveDJmbUtHNGtFdnluRnRRbVRxcTBNN1FjNWZLdU01MktxYVpOeWd2bkdZbERZcG5ZejV1SFh6Z0TSAdIBQVVfeXFMUGVUcWp6VC1vTXFFS2RKZ1pXdm9LNkRHcm5qTVNmY1Z2OVlBZ1hQbW5GSGlqVDlSUFVtU2p2bnVJSHJ5aUctckdTME85YTdIUDBfeWR5cjhNdmZ1Q0tra2hLT2RTRTc3UG5HRHNGUGFvSXRHbW1UNVhEaTRyV3l6RnloNWxxTm44dF9aREV1MXlMVjdmNVFxRDMzT04zWjdzcTVpRV9xWS1tM2J5OW15bjhYVTVIdEV3NnNsMmQ0MnZMeFd0OTVVN3RKMW5OU0NJSmln?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
